# Time,H3_IPR,Cubic_IPR
4.448897795591181925e+00,2.113350813902924730e-01,9.739000866040478654e-02
4.488977955911823692e+00,2.143144261195024380e-01,9.798583399730492749e-02
4.529058116232464570e+00,2.172086578798677059e-01,9.820264060191960520e-02
4.569138276553106337e+00,2.194114461498255231e-01,9.802057997007793122e-02
4.609218436873747216e+00,2.204958412404484369e-01,9.742918446329927595e-02
4.649298597194388982e+00,2.203667704707755193e-01,9.642908505582299672e-02
4.689378757515029861e+00,2.192107533338067404e-01,9.503339827789493433e-02
4.729458917835670739e+00,2.173654855645976713e-01,9.326862092043149144e-02
4.769539078156312506e+00,2.152186918451483022e-01,9.117489665604693039e-02
4.809619238476953385e+00,2.131613127383352180e-01,8.880555919365780426e-02
4.849699398797595151e+00,2.115397487495407070e-01,8.622590651135331186e-02
4.889779559118236030e+00,2.105432181435476779e-01,8.351121565572376670e-02
4.929859719438877796e+00,2.100474431397887087e-01,8.074406410921931843e-02
4.969939879759518675e+00,2.095333262655662554e-01,7.801107927374253959e-02
5.010020040080160442e+00,2.082067047429139173e-01,7.539928895227626660e-02
5.050100200400801320e+00,2.053304306460754791e-01,7.299228847419381161e-02
5.090180360721443087e+00,2.006357601425756143e-01,7.086646861526810226e-02
5.130260521042083965e+00,1.945782472411315134e-01,6.908755734497207257e-02
5.170340681362724844e+00,1.882464068880293773e-01,6.770771454271568013e-02
5.210420841683366611e+00,1.829534042096692958e-01,6.676338207991397433e-02
5.250501002004007489e+00,1.797458752991513975e-01,6.627403543272798736e-02
5.290581162324649256e+00,1.790781857935885291e-01,6.624191282876998321e-02
5.330661322645290134e+00,1.807503741513337148e-01,6.665271998416225085e-02
5.370741482965931901e+00,1.840484823686507343e-01,6.747722953954994607e-02
5.410821643286572780e+00,1.879905778000870165e-01,6.867362111503705346e-02
5.450901803607214546e+00,1.916294790072397836e-01,7.019034697469994644e-02
5.490981963927855425e+00,1.943345846426237089e-01,7.196926713836450384e-02
5.531062124248497192e+00,1.959597981206131490e-01,7.394878147676603453e-02
5.571142284569138070e+00,1.968762127107271942e-01,7.606669810260517639e-02
5.611222444889778949e+00,1.978748939196835477e-01,7.826261727782034272e-02
5.651302605210420715e+00,1.999352525771546929e-01,8.047967324913564424e-02
5.691382765531061594e+00,2.038703593003778902e-01,8.266555716893109196e-02
5.731462925851703361e+00,2.099614612202486130e-01,8.477283318229872355e-02
5.771543086172344239e+00,2.177423770998760943e-01,8.675864739604746689e-02
5.811623246492986006e+00,2.260169750386659682e-01,8.858400516529081614e-02
5.851703406813626884e+00,2.331437520947495234e-01,9.021284440753989109e-02
5.891783567134268651e+00,2.375928362309472908e-01,9.161115490590318600e-02
5.931863727454909530e+00,2.386202275930352223e-01,9.274637800069980564e-02
5.971943887775551296e+00,2.366743959730259195e-01,9.358727151670490074e-02
6.012024048096192175e+00,2.331979482994123998e-01,9.410434632619410489e-02
6.052104208416833053e+00,2.299258461386224361e-01,9.427088715503849359e-02
6.092184368737474820e+00,2.281251022544243945e-01,9.406447458686068019e-02
6.132264529058115698e+00,2.281602484641493400e-01,9.346884090102999809e-02
6.172344689378757465e+00,2.294958773187104895e-01,9.247583003657969258e-02
6.212424849699398344e+00,2.310599652065376819e-01,9.108719794900232980e-02
6.252505010020040110e+00,2.317846600829266135e-01,8.931598809385761506e-02
6.292585170340680989e+00,2.310815567761589640e-01,8.718724893076182370e-02
6.332665330661322756e+00,2.290512204845969180e-01,8.473792421835814326e-02
6.372745490981963634e+00,2.264004165847690320e-01,8.201583772340689804e-02
6.412825651302604513e+00,2.241753343237396501e-01,7.907780080305926163e-02
6.452905811623246279e+00,2.234140408348572193e-01,7.598698110784957160e-02
6.492985971943887158e+00,2.247919886844327864e-01,7.280976584698597986e-02
6.533066132264528925e+00,2.283739216180240839e-01,6.961241917369032084e-02
6.573146292585169803e+00,2.335615523875249344e-01,6.645785854519496716e-02
6.613226452905811570e+00,2.392500142262752871e-01,6.340285665237793689e-02
6.653306613226452448e+00,2.441414745899682104e-01,6.049591592469738544e-02
6.693386773547094215e+00,2.471545463185711167e-01,5.777597349372878138e-02
6.733466933867735094e+00,2.478323872239439063e-01,5.527198973445661412e-02
6.773547094188376860e+00,2.465567529965470850e-01,5.300336919871925789e-02
6.813627254509017739e+00,2.444440503925206232e-01,5.098107259960892035e-02
6.853707414829658617e+00,2.429786714267710146e-01,4.920921319085570095e-02
6.893787575150300384e+00,2.435476865503635180e-01,4.768689457701302120e-02
6.933867735470941263e+00,2.470142716326653443e-01,4.641004164647849484e-02
6.973947895791583029e+00,2.534175546946526025e-01,4.537299821767899755e-02
7.014028056112223908e+00,2.618917692925201157e-01,4.456970966171098364e-02
7.054108216432865675e+00,2.708601766906927333e-01,4.399437037728369526e-02
7.094188376753506553e+00,2.784901061960993740e-01,4.364148789691047609e-02
7.134268537074148320e+00,2.833186384672404245e-01,4.350539061895458692e-02
7.174348697394789198e+00,2.848357072527672451e-01,4.357927677876899386e-02
7.214428857715430965e+00,2.837440050127009172e-01,4.385396034656771636e-02
7.254509018036071843e+00,2.817157079904412664e-01,4.431650789525783118e-02
7.294589178356712722e+00,2.806965933470145225e-01,4.494897454080342553e-02
7.334669338677354489e+00,2.820741097445580992e-01,4.572743566794852665e-02
7.374749498997995367e+00,2.861202199162633519e-01,4.662147718662365548e-02
7.414829659318637134e+00,2.919339772883608464e-01,4.759425615621798444e-02
7.454909819639278012e+00,2.978576532045082992e-01,4.860318319245202773e-02
7.494989979959919779e+00,3.021426335061855872e-01,4.960121478991641464e-02
7.535070140280560658e+00,3.035896092481008557e-01,5.053868366645208887e-02
7.575150300601202424e+00,3.019612120851395964e-01,5.136554253092968231e-02
7.615230460921843303e+00,2.980723164171938944e-01,5.203385481187326744e-02
7.655310621242485070e+00,2.935231835117854682e-01,5.250033795032088557e-02
7.695390781563125948e+00,2.901159514061583122e-01,5.272875367805057029e-02
7.735470941883766827e+00,2.891763378108349603e-01,5.269194746843920696e-02
7.775551102204408593e+00,2.910755159835140549e-01,5.237336680796286087e-02
7.815631262525049472e+00,2.951181615913839873e-01,5.176793292078110675e-02
7.855711422845691239e+00,2.998070013560510394e-01,5.088219848218478170e-02
7.895791583166332117e+00,3.033774486168767659e-01,4.973378774372593653e-02
7.935871743486973884e+00,3.044340519849118576e-01,4.835017706158654949e-02
7.975951903807614762e+00,3.024751738881328866e-01,4.676692656626062206e-02
8.016032064128255641e+00,2.980797614557456621e-01,4.502551217960065050e-02
8.056112224448897408e+00,2.926642938241117431e-01,4.317092974319312881e-02
8.096192384769539174e+00,2.879571226875118350e-01,4.124924966886530514e-02
8.136272545090179165e+00,2.854369724081901594e-01,3.930529367336221824e-02
8.176352705410820931e+00,2.858950874737647974e-01,3.738058708725393309e-02
8.216432865731462698e+00,2.891907238202781616e-01,3.551171344028686977e-02
8.256513026052104465e+00,2.942754790103222495e-01,3.372916418884656237e-02
8.296593186372744455e+00,2.995079403605511725e-01,3.205673726324384520e-02
8.336673346693386222e+00,3.031942452643993091e-01,3.051149523631122712e-02
8.376753507014027988e+00,3.041967688201640541e-01,2.910424952424342168e-02
8.416833667334669755e+00,3.023660818781114257e-01,2.784049417487702988e-02
8.456913827655309746e+00,2.986000556105425918e-01,2.672167477465174634e-02
8.496993987975951512e+00,2.945081741198203873e-01,2.574664881966711935e-02
8.537074148296593279e+00,2.918394855507872587e-01,2.491317751227122013e-02
8.577154308617233269e+00,2.919274439577583813e-01,2.421928900160405518e-02
8.617234468937875036e+00,2.953141138063696824e-01,2.366437258339499500e-02
8.657314629258516803e+00,3.015804662357924881e-01,2.324990207068681342e-02
8.697394789579158569e+00,3.093968786100223523e-01,2.297974214394005177e-02
8.737474949899798560e+00,3.168351286642576703e-01,2.286005560245473606e-02
8.777555110220440326e+00,3.219478351902289037e-01,2.289889074071457808e-02
8.817635270541082093e+00,3.234892798713839279e-01,2.310557327294133351e-02
8.857715430861723860e+00,3.214590680306800285e-01,2.349004498226501050e-02
8.897795591182363850e+00,3.170930078824795162e-01,2.406227739557072545e-02
8.937875751503005617e+00,3.122215355250393953e-01,2.483184787304851607e-02
8.977955911823647384e+00,3.083975781934054083e-01,2.580771066652702214e-02
9.018036072144287374e+00,3.062925560684939263e-01,2.699814376543430497e-02
9.058116232464929141e+00,3.055746124357271443e-01,2.841081801116186745e-02
